Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-11-26 11:20:57.363 +0530,"Success",0:00:00,0,0,0,"20211126_112057.363/LogFile.txt","","",1
2021-11-26 11:21:55.123 +0530,"Success",0:00:00,0,0,0,"20211126_112155.123/LogFile.txt","","",1
2021-11-26 11:24:04.114 +0530,"Aborted",0:00:54,1,0,0,"20211126_112404.114/LogFile.txt","","",0
2021-11-26 11:25:00.631 +0530,"Success",0:00:35,0,0,0,"20211126_112500.631/LogFile.txt","","",1
2021-11-26 11:26:10.443 +0530,"Aborted",0:00:06,1,0,0,"20211126_112610.443/LogFile.txt","","",0
2021-11-26 11:28:03.875 +0530,"Aborted",0:00:37,1,0,0,"20211126_112803.875/LogFile.txt","","",0
